term_srcdb,subject,course_number,code,crn,section,title,enrolled,campus_code,schedule_type,status_code,is_cancelled,meets,instructor,start_date,end_date,meetingTimes,timestamp
202602,SUS,103,SUS 103,36080,001,+*INTRODUCTION TO CLIMATE CHANGE,9,C,HYB,A,False,M 2-2:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '0', 'start_time': '1400', 'end_time': '1450'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,36728,002,+*INTRODUCTION TO CLIMATE CHANGE,9,C,HYB,A,False,M 3-3:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '0', 'start_time': '1500', 'end_time': '1550'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,36081,012,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,T 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,36082,013,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,T 2-4:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1400', 'end_time': '1650'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,36083,014,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,W 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,36084,016,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,R 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,36731,017,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,R 2-4:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1400', 'end_time': '1650'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,36732,018,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,F 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '4', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:49:17
202602,SUS,103,SUS 103,35945,400,+*INTRODUCTION TO CLIMATE CHANGE,9,DI,Y,A,False,,J. Gregg,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,103H,SUS 103H,43639,001,+*INTRODUCTION TO CLIMATE CHANGE,3,C,HYB,A,False,T 2-2:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1400', 'end_time': '1450'}]",2025-11-20T11:49:17
202602,SUS,103H,SUS 103H,43640,010,+*INTRODUCTION TO CLIMATE CHANGE,3,C,D,A,False,R 10a-12:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1000', 'end_time': '1250'}]",2025-11-20T11:49:17
202602,SUS,103H,SUS 103H,43641,011,+*INTRODUCTION TO CLIMATE CHANGE,3,C,D,A,False,R 1-3:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:49:17
202602,SUS,200,SUS 200,42694,400,ORIENTATION TO SUSTAINABILITY,1,DI,Y,A,False,,E. Elliott,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,230X,SUS 230X,41930,001,THE ECONOMICS OF SUSTAINABILITY,1,C,A,A,False,TR 10-11:20a,W. Jaeger,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1000', 'end_time': '1120'}, {'meet_day': '3', 'start_time': '1000', 'end_time': '1120'}]",2025-11-20T11:49:17
202602,SUS,304,SUS 304,35966,400,*SUSTAINABILITY ASSESSMENT,2,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,304,SUS 304,36046,501,*SUSTAINABILITY ASSESSMENT,2,B,A,A,False,TR 12-1:50p,M. Shinderman,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1200', 'end_time': '1350'}, {'meet_day': '3', 'start_time': '1200', 'end_time': '1350'}]",2025-11-20T11:49:17
202602,SUS,331,SUS 331,42217,001,"+*SUSTAINABILITY, JUSTICE, AND ENGAGEMENT",3,C,A,A,False,TR 2-3:20p,D. Lloyd,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1400', 'end_time': '1520'}, {'meet_day': '3', 'start_time': '1400', 'end_time': '1520'}]",2025-11-20T11:49:17
202602,SUS,331,SUS 331,42695,400,"+*SUSTAINABILITY, JUSTICE, AND ENGAGEMENT",3,DB,Y,A,False,,R. Austin-Castillo,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,331,SUS 331,42696,401,"+*SUSTAINABILITY, JUSTICE, AND ENGAGEMENT",3,DB,Y,A,False,,A. Leytem,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,350,SUS 350,42218,001,+*SUSTAINABLE COMMUNITIES,4,C,A,F,False,TR 12-1:50p,K. Townsend,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1200', 'end_time': '1350'}, {'meet_day': '3', 'start_time': '1200', 'end_time': '1350'}]",2025-11-20T11:49:17
202602,SUS,350,SUS 350,35614,400,+*SUSTAINABLE COMMUNITIES,4,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,350,SUS 350,40950,401,+*SUSTAINABLE COMMUNITIES,4,DB,Y,A,False,,R. Austin-Castillo,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,350,SUS 350,43653,402,+*SUSTAINABLE COMMUNITIES,4,DB,Y,A,False,,R. Austin-Castillo,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,401,SUS 401,35685,001,RESEARCH,3,C,G,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,401,SUS 401,37192,400,RESEARCH,3,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,401,SUS 401,38071,501,RESEARCH,3,B,G,A,False,,M. Shinderman,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,410,SUS 410,35330,001,INTERNSHIP,3,C,J,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,410,SUS 410,35899,400,INTERNSHIP,3,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,410,SUS 410,35235,501,INTERNSHIP,3,B,J,A,False,,M. Shinderman,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,420,SUS 420,36918,400,SOCIAL DIMENSIONS OF SUSTAINABILITY,1,DB,Y,A,False,,A. Jerolleman,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,AEC,230X,AEC 230X,41923,001,THE ECONOMICS OF SUSTAINABILITY,1,C,A,A,False,TR 10-11:20a,W. Jaeger,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1000', 'end_time': '1120'}, {'meet_day': '3', 'start_time': '1000', 'end_time': '1120'}]",2025-11-20T11:49:17
